単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
項目,0,0.37288877911826523,1,1.0,0,23.5
氏名,0,0.6024544302435585,1,1.0,0,34.5
教員,0,0.31718405150150736,4,1.0,0,24.0
教員,0,0.31127341386213186,4,1.0,0,24.0
教員,0,0.3002130897627269,4,1.0,0,24.0
教員,0,0.27570478782567326,4,1.0,0,24.0
情報,0,0.40472127418433096,4,1.0,3,325.6
情報,0,0.31127341386213186,4,1.0,1,325.6
情報,0,0.2891585417617223,4,1.0,1,325.6
情報,0,0.2565133778891555,4,1.0,1,325.6
実施開始日,0,0.37288877911826523,1,2.5,0,22.0
実施終了日,0,0.37288877911826523,1,2.5,0,40.36
実施日数,0,0.37288877911826523,1,2.0,1,15.25
学籍番号,0,0.6024544302435585,1,2.0,0,0
学生登録,0,0.4633510990402449,1,2.0,0,31.25
学生id,0,0.44688707384896903,1,1.8,0,14.125
学生,0,0.39363698036676986,4,1.0,2,18.25
学生,0,0.31127341386213186,4,1.0,2,18.25
学生,0,0.3002130897627269,4,1.0,2,18.25
学生,0,0.27570478782567326,4,1.0,2,18.25
企業登録,0,0.4721494747584047,1,2.0,0,85.35
企業担当者id,0,0.4684978677695355,1,3.3,0,45.98
企業担当者,0,0.40045492184334347,2,2.5,1,68.975
企業担当者,0,0.3263805015872155,2,2.5,1,68.975
企業名,0,0.36791730191631683,2,1.5,0,86.625
企業名,0,0.31873175348478006,2,1.5,0,86.625
企業id,0,0.4304316467628404,1,1.8,0,68.225
企業,0,0.4721494747584047,1,1.0,7,136.45
予定実施日数,0,0.3818371575290046,1,3.0,0,14.43
予定実施日,0,0.3818371575290046,1,2.5,1,14.43
ユーザ認証,0,0.7043553668237875,3,2.2,0,15.125
ユーザ認証,0,0.6718649763087943,3,2.2,0,15.125
ユーザ認証,0,0.6718649763087943,3,2.2,0,15.125
ユーザid,0,0.44688707384896903,1,2.0,0,13.625
パスワード,0,0.35217768341189376,3,2.2,0,0
パスワード,0,0.33593248815439714,3,2.2,0,0
パスワード,0,0.33593248815439714,3,2.2,0,0
システム,0,0.4633510990402449,1,2.0,0,323.54
エントリ登録,0,0.4104048426900506,1,3.0,0,33.79
エントリ,0,0.4104048426900506,1,2.0,1,33.3
インターンシップ登録,0,0.3818371575290046,1,4.7,0,17.125
インターンシップ情報閲覧,0,0.5859547245387638,1,5.7,0,87.96
インターンシップ情報,0,0.5008527670276128,2,4.7,1,128.45
インターンシップ情報,0,0.3263805015872155,2,4.7,1,128.45
インターンシップ名,0,0.3263805015872155,2,4.2,0,18.4
インターンシップ名,0,0.31873175348478006,2,4.2,0,18.4
インターンシップid,0,0.37288877911826523,1,4.5,0,0
インターンシップ,0,0.4035761825617584,2,3.7,7,0
インターンシップ,0,0.3507991188647643,2,3.7,7,0
